no_NA2,Freq,,,no_NA1,Freq
REGISTERED NURSE,1099,,,PRESIDENT,1315
LICENSED PRACTICAL NURSE,767,,,AGENT,1072
PHARMACY TECHNICIAN,536,,,DIRECTOR,864
COSMETOLOGIST,452,,,OWNER,770
GUARD,399,,,MEMBER,566
PERMANENT EMPLOYEE REGISTRATION CARD,325,,,SECRETARY,512
PROFESSIONAL NURSE,246,,,INDIVIDUAL - SOLE OWNER,458
LICENSED VOCATIONAL NURSE,243,,,MANAGER,361
CERTIFIED NURSING ASSISTANT,238,,,INCORPORATOR,288
NURSE AIDE,238,,,VICE PRESIDENT,267
REAL ESTATE,226,,,TREASURER,225
PRACTICAL NURSE,141,,,BOARD MEMBER,167
CERTIFIED NURSE AIDE,111,,,MEMBER MANAGER,164
INSURANCE AGENTS,98,,,CEO,143
LICENSED REAL ESTATE SALESPERSON,89,,,OFFICE MANAGER,106
REGISTERED PROFESSIONAL NURSE,86,,,REGISTRANT,105
FIREARM PERMIT,85,,,CHIEF EXECUTIVE OFFICER,103
MASTER COSMETOLOGIST,79,,,MANAGING MEMBER,102
REAL ESTATE SALESPERSON,75,,,TAX RESPONSIBLE PARTY,99
RN,70,,,PARTNER,88
VOCATIONAL NURSE,65,,,CFO,87
EMERGENCY MEDICAL TECHNICIAN,62,,,ORGANIZER,55
PRIVATE SECURITY PERSONS,62,,,APPLICANT,53
LPN,59,,,MEMBER/MANAGER,52
RESPIRATORY CARE PRACTITIONER,54,,,CEO;SECRETARY;CFO,51
REAL ESTATE SALES PERSON,53,,,MEDICAL ASSISTANT,45
TECH,53,,,PHARMACY TECHNICIAN,42
CERTIFIED PUBLIC ACCOUNTANT,52,,,CHIEF FINANCIAL OFFICER,40
REAL ESTATE BROKER OR SALES,48,,,OFFICER,39
STAFF NURSE/GENERAL DUTY,48,,,ADMINISTRATIVE ASSISTANT,37
PHARMACIST,47,,,CERTIFIED PHARMACY TECHNICIAN,37
COSMETOLOGISTS,44,,,TITLE NOT SPECIFIED,27
ELECTRICIANS,44,,,SECRETARY;CFO,24
MORTGAGE BROKER - INDIVIDUAL,44,,,PROCESS ADDRESS CONTACT,23
ATTORNEY,43,,,TEACHER,23
MASSAGE THERAPIST,43,,,CONTRIBUTOR,22
"NURSE, REGISTERED",40,,,FILER,21
DENTAL HYGIENIST,39,,,CEO;CFO,20
LEGAL SERVICES,39,,,DP,20
MANICURISTS,39,,,EXECUTIVE DIRECTOR,20
REGISTERED DENTAL ASSISTANT,35,,,MANAGER/MEMBER,20
ELECTRICIAN,34,,,PRINCIPAL,20
CONTRACTOR CONTROLLING INDIVIDUALS,33,,,OTHER,19
LICENSED SOCIAL WORKER,33,,,BUSINESS OFFICE MANAGER,18
SECURITY GUARD/OFFICER,33,,,STAFF PHARMACIST,18
COS MANAGER,32,,,ADMINISTRATOR,17
SOCIAL WORKER,32,,,RECEPTIONIST SECRETARY,17
PHYSICAL THERAPIST ASSISTANT,30,,,"MANAGER, MEMBER",16
BARBER,29,,,BOARD OF TRUSTEES MEMBER,15
NON-RESIDENT PRODUCER AGENT,28,,,DIRECTOR OF MEDICAL RECORDS,15
TRADESMEN,28,,,GENERAL MANAGER,15
AUTHORIZED EMPLOYEE,27,,,GENERAL PARTNER,14
CLINICAL NURSE ASSISTANT,26,,,PTD,14
BATON CERT - USED FOR HISTORY ONLY,25,,,ALL OFFICERS,13
DENTAL ASSISITANT,25,,,RECEPTIONIST/SECRETARY,13
HOMEMAKER - HHA,25,,,ATTORNEY,12
ESTHETICIAN,24,,,CEO;SECRETARY,12
MANICURIST,24,,,DIRECTOR OF FOOD SERVICES,12
PHYSICAL THERAPIST,24,,,"PRESIDENT, DIRECTOR",12
PSYCHIATRIC TECHNICIAN,22,,,S/T,12
ARMED SECURITY GUARDS,21,,,STUDENT,12
FIREARM TRAINING CERTIFICATE,21,,,VICE-PRESIDENT,12
"NURSE, LICENSED PRACTICAL",21,,,AUTHORIZED REPRESENTATIVE,11
VEHICLE SALESPERSON,21,,,CHAIRMAN OR CHIEF EXECUTIVE OFFICER,11
MEDICATION AIDE,20,,,DIRECTOR OF NURSING SERVICES,11
SALESMAN,20,,,FIREFIGHTER,11
COS OPERATOR,19,,,GOVERNING PERSON,11
NAIL TECHNICIAN,19,,,PASTOR,11
PUBLIC HEALTH NURSE,19,,,REALTOR,11
SALESPERSON,19,,,SALES MANAGER,11
ACCOUNTANT,18,,,SECRETARY/TREASURER,11
NAIL SPECIALIST,18,,,TRADE NAME OWNER,11
NURSE,18,,,LICENSED PRACTICAL NURSE,10
OCCUPATIONAL THERAPIST,18,,,MEM,10
RADIOLOGIC TECHNOLOGY,18,,,POSITION IN SALES,10
SALESPERSONS,18,,,PSD,10
GERIATRICS,17,,,RECEPTIONIST,10
RESPIRATORY CARE,17,,,REGISTERED NURSE,10
BATON CERTIFICATE - SIDE HANDLE,16,,,VD,10
BROKER,16,,,DIRECTOR;PRESIDENT,9
CERTIFIED RESIDENTIAL,16,,,EXECUTIVE ASSISTANT,9
COSMETOLOGIST/ALL,16,,,PHYSICIAN ASSISTANT,9
COUNSELOR,16,,,STD,9
DENTIST,16,,,VP,9
LICENSED REAL ESTATE BROKER,16,,,COACH,8
CHIROPRACTOR,15,,,FAMILY PRACTITIONER,8
NURSING,15,,,FOUNDER,8
OCCUPATIONAL THERAPY ASSISTANT,15,,,MANAG,8
PARAMEDIC,15,,,MINIMUM DATA SET COORDINATOR,8
PROFESSIONAL COUNSELOR,15,,,STORE MANAGER,8
RADIOLOGIC TECHNOLOGIST,15,,,ACCOUNT EXECUTIVE,7
CLINICAL SOCIAL WORKER,14,,,ASSISTANT,7
LICENSED,14,,,ASSOCIATE,7
LICENSED PROFESSIONAL COUNSELOR,14,,,CHAIRMAN,7
NAIL TECHNICIANS,14,,,CHIEF,7
OCCUPATIONAL THERAPIST ASSISTANT,14,,,CUSTODIAN,7
PHYSICIAN ASSISTANT,14,,,DIRECTOR OF PERSONNEL,7
BARBER/COSMETOLOGIST,13,,,EXECUTIVE BOARD MEMBER,7
COSMETOLOGY MANICURIST,13,,,INSTRUCTOR,7
PHYSICIAN,13,,,LIMITED LIABILITY COMPANY INDIVIDUA,7
BARBERS,12,,,NURSE PRACTITIONER,7
INSURANCE EDUCATION PROVIDERS,12,,,OFFICE ASSISTANT,7
REGISTERED PROF. NURSE,12,,,PHARMACY MANAGER,7
COMMUNITY ASSOCIATION MANAGER,11,,,SALES CONSULTANT,7
FIELD REPRESENTATIVE,11,,,ASSISTANT PRINCIPAL,6
MARRIAGE AND FAMILY THERAPIST - INTERN,11,,,BUSINESS MANAGER,6
PHYSICAL THERAPY ASSISTANT,11,,,COORDINATOR,6
BUILDER - INDIVIDUAL,10,,,CUSTOMER SERVICE REPRESENTATIVE,6
BUREAU OF SECURITY AND INVESTIGATIVE SERVICES,10,,,DIRECTOR OF ADMISSIONS,6
CRITICAL CARE MEDICINE,10,,,DIRECTOR OF ENVIRONMENTAL SVS,6
LICENSED REAL ESTATE LEASING AGENT STUDENT,10,,,DIRECTOR OF HUMAN RESOURCES,6
NURSES,10,,,DV,6
PLUMBING APPRENTICE,10,,,PD,6
PROFESSIONAL ENGINEER,10,,,PRESIDENT AND CHIEF EXECUTIVE OFFIC,6
RESPIRATORY CARE PRACTITIONER REGULAR CERTIFICATE,10,,,SALES REPRESENTATIVE,6
CIVIL ENGINEER,9,,,ACCOUNTANT,5
ELECTRICAL APPRENTICE,9,,,ARP SIGNATURE,5
INTERN PHARMACIST,9,,,ASSISTANT DIRECTOR OF NURSING,5
MANICURISTS MANAGER,9,,,DIREC,5
PUBLIC ACCOUNTANT,9,,,DIRECTOR OF SOCIAL SERVICES,5
RESIDENT PRODUCER INDIVIDUAL,9,,,DPT,5
RESPRITORY CARE PROFESSIONAL,9,,,HUMAN RESOURCES DIRECTOR,5
BEAUTICIAN,8,,,INCOR,5
CERTIFIED TO PURCHASE FREON,8,,,INSURANCE/BILLING SUPERVISOR,5
HEAD NURSE/ASSISTANT,8,,,MEDICAL DIRECTOR,5
JOURNEYMAN PLUMBER,8,,,OPERATIONS MANAGER,5
LICENSED CLINICAL SOCIAL WORKER,8,,,ORGAN,5
MEDICAL & SURGICAL,8,,,PRINCIPAL SHAREHOLDER,5
MEDICAL FIRST RESPONDER,8,,,PROJECT MANAGER,5
OTHER,8,,,PST,5
OTHER SPECIALTY,8,,,SUPERINTENDENT,5
PHARMACY INTERN,8,,,VS,5
PROVISIONAL BROKER TRANSITION -24HR BROKER TRANSITION COURSE,8,,,ADVISORY BOARD MEMBER,4
RESPIRATORY CARE PRACTITIONERS,8,,,APPRAISAL SUBCOMMITTEE APPR,4
ARCHITECT,7,,,ATHLETIC DIRECTOR,4
BARBER/COSMETOLOGY MANAGER,7,,,BRANCH MANAGER,4
COSMETOLOGIST/MANICURING,7,,,BROKER,4
GENERAL CERTIFICATE,7,,,BUYER,4
MASTER BARBER,7,,,COMMITTEE MEMBER,4
NONRES PRODUCER INDIVIDUAL,7,,,COUNSELOR,4
SMOG CHECK ADVANCED TECHNICIAN,7,,,DIRECTOR ACTIVITIES/RECREATION,4
TEMPORARY SALESPERSON,7,,,DIRECTOR OF HOUSEKEEPING,4
ATHLETIC TRAINER,6,,,DIRECTOR OF NURSING,4
CERTIFIED DENTAL RADIOGRAPHERS,6,,,DIRECTOR OF PHYSICAL THERAPY,4
COSMETOLOGIST-HAIRSTYLIST,6,,,DPST,4
COSMETOLOGY MANAGER,6,,,EXECUTIVE VICE PRESIDENT,4
CPA,6,,,HEAD COACH,4
DENTAL RADIOGRAPHER,6,,,LEGAL ASSISTANT,4
MARRIAGE AND FAMILY THERAPIST,6,,,MANAGING DIRECTOR,4
MASSAGE THERAPISTS,6,,,MARKETING COORDINATOR,4
OPTICIANS,6,,,MGR,4
REAL ESTATE BROKER,6,,,P/S/T,4
RESPIRATORY THERAPIST,6,,,PARALEGAL,4
SOCIAL WORKERS,6,,,PRES,4
VETERINARIAN,6,,,PRESI,4
BROKER ASSOCIATE,5,,,PRESIDENT;SECRETARY,4
CERTIFIED SHORTHAND REPORTER,5,,,PROGRAM COORDINATOR,4
CLINICAL LABORATORY PERSONNEL,5,,,PSTD,4
COMMUNITY HEALTH,5,,,REGIONAL SALES MANAGER,4
CORPORATE BROKER,5,,,RGT,4
DENTAL HYGIENISTS,5,,,SALES ASSOCIATE,4
EMBALMER,5,,,"SECRETARY/TREASURER, DIRECTOR",4
JOURNEYMAN ELECTRICIAN,5,,,SENIOR CONSULTANT,4
MASTER PLUMBER,5,,,SERVICE MANAGER,4
MEDICAL DOCTORS,5,,,TD,4
OCCUPATIONAL HEALTH,5,,,TECHNICIAN,4
PHARMACIST INTERN,5,,,TRES,4
PHYSICIAN AND SURGEON,5,,,TRUSTEE,4
PHYSICIAN AND SURGEON OR OSTEOPATH,5,,,UNINCORPORATED ACCOUNT OWNER,4
REGISTERED APPLICATORS,5,,,VICEPRES,4
REGISTERED ASSOCIATE SOCIAL WORKER,5,,,VOLUNTEER COORDINATOR,4
REGISTERED PHARMACIST,5,,,VPD,4
REGISTERED VETERINARY TECHNICIAN,5,,,ACCOUNT MANAGER,3
WASTEWATER OPERATOR CLASS 3,5,,,ACCOUNTS PAYABLE CLERK,3
WATER OPERATOR CLASS 3,5,,,ACTIVITIES DIRECTOR,3
AGENT,4,,,ADMISSIONS COORDINATOR,3
ASBESTOS SUPERVISORS,4,,,BOOKKEEPER,3
ASBESTOS WORKERS,4,,,CAPTAIN,3
ASSOCIATE PROFESSIONAL COUNSELOR,4,,,CAREER SPECIALIST,3
AUCTIONEER,4,,,CHIEF OPERATING OFFICER,3
BARBER/COSMETOLOGY,4,,,DEAN,3
CERTIFIED BUILDING CONTRACTOR,4,,,DIRECTOR OF EMERGENCY ROOM,3
CERTIFIED SOCIAL WORKER,4,,,DIRECTOR OF OPERATIONS,3
DENTISTRY,4,,,DIRECTOR OF SALES,3
DISPENSING OPTICIAN,4,,,DIRECTOR;SECRETARY,3
ENGINEERS,4,,,DIRECTOR;VICE PRESIDENT,3
FACULTY/EDUCATOR,4,,,DS,3
FAIR HOUSING INACTIVE,4,,,DST,3
FIRST GRADE ENGINEER,4,,,EDITOR,3
HEALTH FACILITY ADMINISTRATOR,4,,,FIRE CHIEF,3
HEATING & AIR,4,,,GENERAL SALES MANAGER,3
HOME HEALTH AIDE,4,,,HUMAN RESOURCES MANAGER,3
INACTIVE SALESMAN,4,,,INFORMATION SYSTEMS COORD,3
LICENSED INDEPENDENT SOCIAL WORKER,4,,,INSTRUCTIONAL ASSISTANT,3
LICENSED MASTER SOCIAL WORKER,4,,,LABORATORY TECHNICIAN,3
LICENSED PRACTICAL,4,,,M,3
LICENSED PROFESSIONAL COUNSELOR INTERN,4,,,MANAGING EDITOR,3
LICENSED REAL ESTATE LEASING AGENT,4,,,MEDICAL STAFF COORDINATOR,3
LOCKSMITH PERMIT,4,,,MEMBE,3
MEDICAL,4,,,MEMBER OF EXECUTIVE BOARD,3
MEDICAL PHYSICIAN AND SURGEON,4,,,"MEMBER, TEAM",3
NAIL TECHNOLOGY,4,,,MM,3
OCCUPATIONAL THERAPY,4,,,MRS,3
PHYSICIANS ASSISTANT,4,,,"NEWS ANCHOR, REPORTER AND HOST",3
PROFESSINAL ENGINEER,4,,,NO TITLE SPECIFIED,3
PROPERTY MANAGER,4,,,NURSE,3
PSYCHIATRIC/MENTAL HEALTH CLINICAL NURSE SPECIALIST,4,,,NURSING SUPERVISOR,3
PSYCHOLOGIST\CLINICAL PSYCHOLOGIST,4,,,OPHTHALMOLOGIST,3
REGISTERED CERTIFIED PUBLIC ACCOUNTANT,4,,,P/T,3
REHABILITATION PROVIDER,4,,,PARAPROFESSIONAL,3
SALESMAN PROVISIONAL,4,,,PC,3
SUBSTANCE ABUSE COUNSELOR IN TRAINING,4,,,PEDIATRICIAN,3
SUPERVISOR/ASSISTANT,4,,,POSITION IN ACCOUNTING,3
ADVISOR AGENT,3,,,PRESIDENT/CEO,3
ASSOCIATE BROKER,3,,,PRESIDENT;DIRECTOR,3
ASSOCIATE REAL ESTATE APPRAISER,3,,,PRESIDENT;TREASURER,3
ATTORNEYS,3,,,PRINCIPAL EXECUTIVE OFFICE CONTACT,3
AUTO SALESMAN,3,,,PROGRAM MANAGER,3
BATON CERTIFICATE - BOTH SIDE HANDLE/STRAIGHT,3,,,PSYCHIATRIST,3
BEAUTY SALON,3,,,PT,3
BROKER DEALER BRANCH,3,,,PTR,3
CEMETERY SALES PERSONNEL,3,,,SALES DIRECTOR,3
CERTIFIED FOOD SAFETY MGR,3,,,SD,3
CERTIFIED GENERAL,3,,,"SECRETARY, TREASURER",3
CERTIFIED GENERAL CONTRACTOR,3,,,SECRETARY;DIRECTOR,3
CONDITONED AIR NON-RESTRICTED,3,,,ST,3
COSMETOLOGIST OWNER,3,,,STATE DIRECTOR,3
COSMETOLOGY INSTRUCTORS,3,,,STUDENTS,3
"COUNSELOR, PROFESSIONAL",3,,,VICE,3
DOCTOR OF MEDICINE,3,,,VICE PRESIDENT;SECRETARY,3
ELECTRICAL CONTRACTOR- RESTRICTED,3,,,ACCOUNTS RECEIVABLE,2
ENGINEER INTERN,3,,,ADM,2
ENGINEER-IN-TRAINING,3,,,ADMINISTRATIVE MANAGER,2
EXPANDED FUNCTION DENTAL ASSISTANT,3,,,ALLENTOWN DIVORCE LAWYER,2
FUNERAL DIRECTOR & EMBLAMER TRAINEE,3,,,ARCHITECT,2
FUNERAL DIRECTOR/EMBALMER,3,,,ARTISTIC DIRECTOR,2
HAIR BRAIDER,3,,,ASSISTANT DIRECTOR,2
LAND SURVEYOR,3,,,ASSISTANT GENERAL MANAGER,2
LICENSE PRACTICAL NURSE,3,,,ASSISTANT MEN'S BASKETBALL COACH,2
LICENSED BACHELOR SOCIAL WORKER,3,,,ASSISTANT PROFESSOR,2
LICENSED DIETITIAN,3,,,ASSISTANT VICE PRESIDENT,2
LICENSED HOME INSPECTOR,3,,,ASSOCIATE PROFESSOR,2
LICENSED MASSAGE THERAPIST,3,,,ATTORNEY AT LAW,2
LIMITED REAL ESTATE APPRAISER,3,,,AUTHORIZED PERSON ACCOUNTANT,2
MEDICAL DOCTOR,3,,,BROKER AND REALTOR,2
MEDICAL RADIATION TECHNOLOGIST,3,,,CASE MANAGER,2
NURSE AIDES,3,,,CFAC MEMBER,2
NURSE PRACTITIONER,3,,,CHAIR,2
NURSING HOME ADMINISTRATOR,3,,,CHAPLAIN,2
OBSTETRICS & GYNECOLOGY,3,,,CHIEF PHARMACIST,2
OSTEOPATHIC PHYSICIAN AND SURGEON,3,,,CLUB MEMBER,2
PEDIATRICS,3,,,CO-OWNER,2
PHYSICAL THERAPY ASSISTANTS,3,,,CO-PRESIDENT,2
PHYSICIAN:PEDIATRICS,3,,,COMPANY MEMBER,2
PROFESSIONAL BOXING,3,,,CONSULTANT,2
PSYCHOLOGIST,3,,,CORRESPONDENT,2
QUALIFIED MEDICATION AIDE,3,,,CPP ACCOUNTANT,2
QUALIFYING PARTY ROOFING CONTRACTOR,3,,,CUSTOMER SERVICE SPECIALIST,2
RADIOLOGIST,3,,,DD,2
REAL ESTATE ASSOC BROKER,3,,,DEPARTMENT CHAIR,2
REAL ESTATE INDEPENDENT BROKER,3,,,DEPARTMENT SECRETARY,2
REG CONTACT LENS DIPENSER5,3,,,DIRECTOR IN-SERVICE EDUCATION,2
REGISTERED CHIROPRACTIC ASSISTANT,3,,,DIRECTOR OF FINANCE,2
REGISTERED MANICURIST,3,,,DIRECTOR OF INFORMATION TECHNOLOGY,2
REGISTERED RESPIRATORY THERAPIST,3,,,DIRECTOR OF MAINTENANCE,2
REGISTERED RESPIRATORY THERAPY,3,,,DIRECTOR OF OUTPATIENT SERVICES,2
RN - TEMPORARY,3,,,DIRECTOR OF PATIENT ACCOUNTS,2
SPEECH LANGUAGE PATHOLOGIST,3,,,DIRECTOR OF TECHNOLOGY,2
SPEECH PATHOLOGIST,3,,,DIRECTOR PATIENT CARE/NURSING,2
TEMPORARY GENERAL CERTIFICATE,3,,,"DIRECTOR, CAREER SERVICES",2
WASTEWATER COLLECT SYS OPER,3,,,"DIRECTOR, VICE-PRESIDENT",2
ACUPUNCTURIST,2,,,"DIRECTOR,TREASURER",2
ADMINISTRATOR/ASSISTANT,2,,,DIRECTOR;PRESIDENT;TREASURER,2
AESTHETICIAN,2,,,DISPATCHER,2
AIR CONDITIONING/REFRIGERATION,2,,,DOCTOR,2
APPRENTICE OPTICIAN,2,,,DVP,2
AR,2,,,ENGINEER,2
ATHLETIC TRAINERS,2,,,ENGINEERING MANAGER,2
BAIL BONDING AGENT,2,,,EPC PROJECT DIRECTOR,2
BARBER/SENIOR COSMETOLOGIST,2,,,ESTIMATOR,2
BARBERS AND HAIR DRESSERS,2,,,EVENT COORDINATOR,2
BOXER,2,,,EXECUTIVE,2
BOXING SECOND,2,,,EXECUTIVE MEMBER,2
BRAKE ADJUSTER,2,,,FAMILY ADVOCATE,2
CARDIAC TECHNICIAN,2,,,FAMILY PRACTICE,2
CERTIFIED ADDICTION COUNSELOR III,2,,,FINANCE MANAGER,2
CERTIFIED MASSAGE THERAPIST,2,,,GROUP MANAGER,2
CERTIFIED POD X-RAY ASSISTANT,2,,,HEAD,2
CERTIFIED RESIDENTIAL CONTRACTOR,2,,,HEAD CUSTODIAN,2
CERTIFIED SUBSTANCE ABUSE COUNSELOR,2,,,HEAD OF THE CULINARY PROGRAM,2
CLINICAL LABORATORY TRAINEE,2,,,HONORARY MEMBER,2
COSMETICIAN,2,,,INTERN,2
COSMETOLOGY APPRENTICE,2,,,INTERNET SALES MANAGER,2
COSMETOLOGY STUDENT,2,,,INVESTIGATOR,2
COSMETOLOGY TEACHER,2,,,KINDERGARTEN TEACHER,2
CRITICAL CARE,2,,,LEGAL ADMINISTRATIVE ASSISTANT,2
DENTAL ASSISTANT,2,,,LEGAL SECRETARY,2
DENTISTS,2,,,LIBRARY ASSISTANT,2
DIETICIAN,2,,,LOAN OFFICER,2
DIETITIAN,2,,,MAIN OFFICE BRANCH MANAGER,2
DOCTOR OF OSTEOPATHY,2,,,MANAGER OF REIMBURSEMENT SVS,2
ELECTRICAL CONTRACTOR,2,,,MARKETING DIRECTOR,2
ELECTRICAL CONTRACTOR- NON RESTRICTED,2,,,MARKETING MANAGER,2
EMBALMERS & FUNERAL DIRECTORS,2,,,MATERIALS MANAGER,2
EMERGENCY MEDICINE,2,,,MAYOR,2
EMT,2,,,MEMBER AT LARGE,2
ENGINEER IN TRAINING,2,,,"MEMBER, MANAGER",2
EXPLOSIVES USER HANDLER,2,,,"MEMBER,MANAGER",2
FACIAL SPECIALIST,2,,,MEMBER;MANAGER,2
FUNERAL DIRECTOR & EMBALMER,2,,,MID ATLANTIC ACCOUNT MANAGER,2
GAS MANAGER,2,,,MISSIONARY,2
GENERAL SURGERY,2,,,MORTGAGE LOAN OFFICER,2
GRADUATE SOCIAL WORKER,2,,,MS,2
HAIRDRESSER / COSMETICIAN,2,,,MUSIC EDUCATOR,2
HAIRDRESSER/COSMETOLOGIST,2,,,"NATIONAL ACCOUNTS MANAGER, RETAIL D",2
INTERN,2,,,NEWS EDITOR,2
KEY PERSONNEL-INDIVIDUAL,2,,,NURSERY WORKER,2
LICENSED APPRAISERS,2,,,OASIS DATA PROCESSOR,2
LICENSED GRADUATE SOCIAL WORKER,2,,,OBSTETRIC GYNECOLOGIST,2
LICENSED MASTERS SOCIAL WORK,2,,,OFFICE SUPERVISOR,2
LICENSED PRACTICAL NURSES,2,,,ORDER ENTRY,2
LICENSED PSYCHOLOGIST,2,,,ORGANIST,2
LPN - TEMPORARY,2,,,ORTHOPEDIC SURGEON,2
MASTER SOCIAL WORKER,2,,,OWNE,2
MD,2,,,OWNER/CHIEF PHARMACIST,2
MECHANICAL ENGINEER,2,,,P/CEO,2
MEDICAL PHYSICIAN ASSISTANT,2,,,P/S,2
MEDICATION AIDE - 40 HOUR,2,,,PAYROLL,2
MEDICINE AND SURGERY MD,2,,,PCEO,2
MENTAL HEALTH COUNSELOR,2,,,PHARMACIST IN CHARGE,2
MENTAL HEALTH NURSE,2,,,PODIATRIST,2
NURSE ANESTHETIST,2,,,PORTFOLIO MANAGER,2
NURSING ASSISTANT,2,,,POSITION IN COMMERCIAL SALES,2
OCC THERAPY ASSISTANT,2,,,PRES/DIR,2
OCCUPATIONAL THERAPIST OTR L,2,,,PRESCHOOL TEACHER,2
OCCUPATIONAL THERAPY ASSISTANTS,2,,,PRESIDENT AND FOUNDER,2
OPTICIAN,2,,,PRESIDENT AND OWNER,2
OPTOMETRIST,2,,,"PRESIDENT, SECRETARY/TREASURER, DIR",2
PHARMACY TECH IN-TRAINING,2,,,PRODUCER,2
PHYSICIAN:FAMILY PRACTICE,2,,,PRODUCT SPECIALIST,2
PHYSICIAN:INTERNAL MEDICINE,2,,,PROFESSOR,2
PHYSICIANS,2,,,PROJECT ENGINEER,2
PHYSICIANS ASSISTANT IN MEDICINE,2,,,PSYCHOLOGIST,2
PODIATRIST,2,,,PVST,2
PRIVATE DETECTIVE,2,,,REAL ESTATE AGENT,2
PROF ENGINEER,2,,,"REAL ESTATE AGENTS, BROKERS & FIRMS",2
PROFESSIONAL ENGINEERS,2,,,REAL ESTATE BROKERS,2
PROVISIONAL RESPIRATORY CARE PRACTITIONER,2,,,REALTOR - ASSOCIATE,2
PSYCHOLOGICAL ASSOCIATE,2,,,REALTOR ASSOCIATE,2
"REAL ESTATE AGENTS, BROKERS & FIRMS",2,,,RECRUITER,2
REAL ESTATE ASSOCIATE BROKER,2,,,RECRUITING MANAGER,2
REAL ESTATE BROKERS,2,,,REGIONAL MANAGER,2
REGISTERED DENTAL HYGIENIST,2,,,REPRESENTATIVE,2
REGISTERED NURSE-TEMP PERMIT,2,,,RESIDENTIAL COORDINATOR,2
RESIDENT PRODUCER AGENT,2,,,SALES,2
RESIDENTIAL BUILDING CONTRACTOR,2,,,SALES COORDINATOR,2
RESPIRATORY THERAPY TECHNICIAN,2,,,SALES EXECUTIVE,2
SOCIAL WORKER (LCSW),2,,,SCHOLARSHIP FUND COORDINATOR,2
SPEECH-LANGUAGE PATHOLOGIST,2,,,SCIENCE TEACHER,2
STUDENT HEARING AID DEALER,2,,,SEC,2
TEMPORARY LIMITED CERTIFICATE,2,,,SEC/TREAS,2
TEMPORARY LPN PERMIT,2,,,SECOND GRADE TEACHER,2
TEMPORARY PROFESSIONAL COUNSELOR,2,,,SECT,2
