VAR_0001,VAR_0136,VAR_0224,VAR_0241,VAR_0268,VAR_0274,VAR_0281,VAR_0292,VAR_0294,VAR_0298,VAR_0312,VAR_0314,VAR_0318,VAR_0323,VAR_0330,VAR_0504,VAR_0513,VAR_0539,VAR_0543,VAR_0549,VAR_0608,VAR_0704,VAR_0710,VAR_0711,VAR_0719,VAR_0805,VAR_0809,VAR_0887,VAR_0891,VAR_0908,VAR_0920,VAR_0967,VAR_1087,VAR_1247,VAR_1257,VAR_1397,VAR_1494,VAR_1566,VAR_1746,VAR_1749,VAR_1790,VAR_1934,VAR_0073
H,0,1,33324,1,FL,2,1,2011,0,1,2011,0,1,-1,0,0,0,116783,998,1977,25619,-99999,1,1,1,-99999,19214,-99999,-99999,0,997,116783,0,1,997,999999997,1,0,1,1,IAPS,NA
H,1,1,92071,0,MI,2,1,2012,0,1,2012,0,7,-1,0,1,0,346196,998,117,28336,-99999,2,2,5,-99999,28336,303011,27542,0,998,346196,0,1,998,33667,3,98,998,4,IAPS,9.07E+17
H,0,1,26547,0,WV,-1,0,-1,0,0,-1,0,65,-1,0,1,0,122601,998,999999997,35589,-99999,1,1,-99999,-99999,35589,94831,22523,0,998,121501,999999997,1,0,22523,0,0,30,97,IAPS,NA
H,0,1,77575,0,TX,1,0,-1,0,0,-1,0,1,-1,0,0,0,59490,400,14,5854,-99999,1,4,0,-99999,5204,18430,22107,1459,1,59490,0,30,998,59190,3,0,30,1,RCC,NA
R,0,1,60423,0,IL,1,0,-1,0,0,-1,0,1,-1,0,1,0,35708,998,0,2550,-99999,1,3,4,-99999,2266,-99999,20947,0,998,34708,0,30,998,20947,1,98,998,4,BRANCH,NA
R,0,1,77379,0,ME,2,1,2012,126987,1,2012,126987,1,-1,0,1,0,28055,400,479,4145,-99999,-99999,0,3,-99999,4145,-99999,22755,1030,996,28055,0,30,0,26755,4,0,1,2,IAPS,NA
H,0,2,97030,0,CA,2,0,2011,387000,0,2011,387000,57,325000,0,1,2,333565,998,999999996,180318,-99999,0,4,0,-99999,180318,298552,23665,902816,998,333565,0,400,997,23665,2,0,1,0,IAPS,NA
R,0,1,31098,0,SC,2,0,-1,0,0,-1,0,1,15000,1,1,2,5181,400,999999996,2087,-99999,2,3,0,-99999,2087,-99999,-99999,5073,998,5181,0,0,997,4681,4,0,120,0,IAPS,NA
R,0,1,78212,0,TX,1,1,2012,47640,1,-1,0,1,-1,0,0,0,30114,400,999999996,3444,-99999,1,1,1,-99999,3444,-99999,21942,121,1,30114,0,1,0,28314,3,0,90,2,MOBILE,8.81E+17
R,0,1,19401,1,PA,2,0,-1,0,0,-1,0,7,-1,0,0,0,1300,998,25,2399,-99999,0,1,2,-99999,2399,-99999,-99999,648,998,1300,0,30,3,999999996,0,98,998,2,BRANCH,NA
R,2,1,37129,0,TN,2,0,2012,153893,0,2012,153893,17,-1,0,1,0,15233,998,4,2118,-99999,0,2,2,-99999,1589,-99999,14233,674,998,15233,0,1,998,14233,4,98,998,2,BRANCH,9.08E+17
H,0,1,30120,0,GA,1,0,2009,0,0,-1,0,1,-1,0,1,0,1457,400,44,364,0,1,1,1,-99999,364,-99999,-99999,0,998,757,0,1,998,999999997,2,0,1,1,BRANCH,NA
H,2,1,18018,0,PA,1,0,2012,0,0,-1,0,1,0,0,1,0,539,400,999999996,376,-99999,-99999,0,2,-99999,376,-99999,-99999,4102,998,539,0,400,997,999999997,3,0,400,2,IAPS,8.90E+17
R,0,1,98335,0,CA,2,1,2009,373503,1,2009,373503,16,0,0,1,0,47562,30,0,5648,-99999,-99999,0,2,-99999,5648,-99999,44062,36,998,47562,0,30,998,44062,0,98,998,2,BRANCH,NA
Q,0,1,93308,0,CA,1,0,2012,283000,0,-1,0,1,141950,0,0,1,218067,998,16,10308,-99999,0,1,10,-99999,9223,145391,53020,2104,998,216307,0,400,3,53915,3,0,30,11,IAPS,NA
R,0,1,20171,0,VA,2,0,-1,0,0,-1,0,1,-1,0,1,0,12119,998,999999996,3775,-99999,-99999,0,1,-99999,3775,-99999,16263,0,998,12119,0,1,0,11119,4,98,998,0,IAPS,NA
H,0,1,41563,1,KY,1,1,2010,0,1,-1,0,1,35000,0,0,1,9607,400,999999996,2962,-99999,-99999,0,1,-99999,2962,-99999,-99999,1813,1,9607,0,1,998,9007,1,0,60,1,BRANCH,NA
R,0,1,91761,0,AL,2,0,-1,0,0,-1,0,8,-1,0,0,0,35590,998,610,3698,0,-99999,0,2,-99999,3698,-99999,25740,0,997,35590,0,1,998,28040,3,0,1,1,IAPS,NA
H,1,2,38134,0,TN,2,1,2011,0,1,2011,0,3,39000,1,0,0,139605,30,24,14200,0,2,8,2,-99999,12909,104442,27888,464,1,139605,0,30,998,31680,6,0,1,3,IAPS,8.71E+17
R,0,1,93304,0,CA,2,0,2012,201000,0,2012,201000,3,-1,0,1,0,25566,1,198,2030,-99999,-99999,0,6,-99999,2030,-99999,18866,0,998,25566,0,1,0,18866,0,98,998,7,BRANCH,NA
R,0,1,32714,0,NC,2,0,2011,0,0,2011,0,6,176000,0,0,0,10033,30,75,1910,-99999,-99999,0,1,-99999,1432,-99999,7233,0,998,10033,0,1,0,7233,0,98,998,2,IAPS,NA
H,0,1,18214,0,PA,2,1,2011,194084,1,2011,194084,136,-1,0,1,0,204072,998,16,22555,-99999,1,3,1,0,20049,128071,42442,0,1,204072,0,1,998,185442,3,0,1,2,BRANCH,NA
H,0,1,77015,0,TX,2,0,2012,77716,0,2012,77716,1,0,0,1,0,11400,998,145,927,-99999,-99999,0,4,-99999,695,-99999,-99999,0,997,11400,0,1,998,999999997,0,0,1,5,IAPS,NA
R,0,1,46970,0,IN,-1,0,2011,0,0,2012,0,1,0,0,0,99,999999999,999,999999999,-99999,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,27131,999,999999999,999999999,999,999,999999999,1,99,999,99,BRANCH,NA
R,0,1,98444,0,GA,-1,0,-1,0,0,-1,0,1,0,1,0,1,4955,400,999999996,2794,-99999,0,1,0,-99999,2794,-99999,8186,4095,998,4955,999999998,998,998,3605,2,2,400,1,IAPS,NA
R,0,1,65721,0,MO,-1,0,-1,0,0,-1,0,1,-1,0,1,0,2458,1,999999998,2015,-99999,-99999,0,-99999,-99999,2015,-99999,-99999,212,1,2458,999999998,998,998,2458,1,0,1,98,IAPS,NA
R,0,1,92509,0,CA,2,0,2010,385000,0,2010,385000,-1,-1,0,0,0,6800,998,275,272,1,1,1,0,-99999,272,-99999,-99999,0,998,6800,999999998,998,998,999999998,2,98,998,0,BRANCH,NA
R,2,1,30909,1,GA,2,0,-1,0,0,-1,0,1,0,1,0,1,14701,998,999999997,7974,-99999,5,9,-99999,-99999,7974,-99999,14701,1082,997,14701,999999997,0,998,14701,2,0,1,97,IAPS,8.74E+17
R,0,1,60610,0,MN,2,0,-1,0,0,-1,0,1,-1,0,0,3,9302,998,125,1297,-99999,-99999,0,2,-99999,1297,-99999,-99999,5099,1,9302,0,1,998,4502,1,98,998,1,IAPS,8.80E+17
R,0,1,37876,0,MI,2,0,-1,0,0,-1,0,1,-1,0,0,0,3359,998,244,2000,-99999,0,1,1,-99999,1000,-99999,-99999,294,998,2500,0,30,0,999999996,0,0,1,1,BRANCH,NA
H,0,1,22191,0,NY,1,1,-1,0,0,-1,0,1,106615,0,1,0,257732,998,262,13662,-99999,-99999,0,12,-99999,12903,207472,-99999,0,998,257732,0,400,997,5882,1,98,998,8,IAPS,NA
R,0,1,36850,0,AL,1,0,-1,0,0,-1,0,1,-1,0,1,0,11014,998,999999996,10058,-99999,0,6,0,-99999,5029,-99999,-99999,0,998,11014,999999998,998,998,10914,0,0,1,0,BRANCH,NA
R,0,1,22664,0,VA,2,0,2006,163412,0,2006,163412,50,-1,0,0,0,13770,998,999999997,11848,-99999,-99999,0,-99999,-99999,11848,-99999,13770,0,998,13770,999999997,400,998,13770,0,0,1,97,BRANCH,NA
H,0,1,35640,0,AL,1,0,2012,0,0,-1,0,13,-1,0,1,0,7780,998,135,1713,-99999,0,1,2,-99999,1713,-99999,-99999,0,998,7780,0,1,998,1605,0,98,998,2,BRANCH,NA
R,0,1,78222,0,TX,-1,0,-1,0,0,-1,0,10,0,0,1,1,53548,998,999999997,10170,-99999,1,1,-99999,-99999,10170,-99999,-99999,15239,997,53548,999999997,0,0,53548,2,0,1,97,IAPS,8.80E+17
H,0,1,33544,0,NY,2,0,2012,0,0,2012,0,69,0,0,0,0,948110,998,384,138740,-99999,0,1,0,0,115617,675942,-99999,684727,998,940610,0,30,2,23310,0,0,60,3,BRANCH,NA
H,0,1,92562,0,CA,2,0,2010,420000,0,2010,420000,155,0,0,1,0,379754,60,260,39030,-99999,1,1,0,-99999,34694,141440,43450,161,998,379754,0,30,0,43450,3,98,998,1,BRANCH,NA
R,0,1,77084,0,LA,1,0,-1,0,0,2010,0,1,-1,0,1,1,4270,998,999999998,1044,-99999,5,8,-99999,-99999,1044,-99999,-99999,11746,1,4270,999999998,998,998,4270,2,1,400,98,IAPS,NA
R,3,10,44870,0,OH,1,0,2011,63500,0,2011,41327,1,0,0,1,0,300,998,5,292,0,1,5,1,-99999,292,-99999,-99999,0,998,300,0,1,998,999999996,1,98,998,1,IAPS,8.75E+17
H,0,1,32068,0,OH,2,0,2012,251519,0,2012,251519,1,10000,0,0,0,159320,90,92,17402,-99999,1,3,6,-99999,13051,146950,4634,703,998,159320,0,1,998,4634,5,98,998,6,IAPS,8.84E+17
H,0,1,29927,0,GA,1,0,2011,0,0,-1,0,7,-1,0,1,1,180569,998,999999996,35320,-99999,1,7,-99999,-99999,35320,155560,-99999,160021,1,180569,0,1,998,20726,0,0,30,0,BRANCH,NA
R,4,11,92562,0,MI,1,0,-1,0,0,-1,0,1,-1,0,1,99,999999999,999,999999999,58,-99999,-99999,0,0,-99999,58,-99999,-99999,33,999,999999999,999999999,999,999,999999999,0,99,999,99,IAPS,8.71E+17
R,0,1,60647,0,OH,-1,0,2011,0,0,2012,43283,26,-1,0,1,0,17751,998,0,2526,-99999,-99999,0,1,-99999,2526,-99999,-99999,0,998,17751,0,60,998,12751,0,98,998,2,IAPS,NA
H,0,1,33880,0,FL,2,0,2012,0,0,2012,0,13,12000,0,0,0,4407,1,389,44849,-99999,1,1,2,-99999,44849,175411,-99999,681,998,4407,0,1,998,3807,4,0,1,1,MOBILE,NA
R,0,1,71328,0,LA,1,0,-1,0,0,-1,0,1,-1,0,0,2,500,400,163,638,1,0,2,1,-99999,638,-99999,-99999,680,998,500,0,60,998,999999996,4,1,400,1,IAPS,7.30E+17
R,0,1,89148,0,NV,2,0,-1,0,0,-1,0,7,187400,0,1,0,8250,400,225,2508,-99999,-99999,0,2,-99999,2508,-99999,-99999,0,998,8250,0,1,997,7000,3,1,400,0,IAPS,8.89E+17
R,0,1,29461,0,FL,2,0,2012,0,0,2012,0,21,0,0,1,2,17820,400,25,3273,-99999,1,7,1,-99999,3273,-99999,11848,24024,1,16020,0,1,0,15720,2,0,1,1,IAPS,8.90E+17
H,0,1,27545,0,NC,-1,0,2012,159868,-1,-1,-1,-1,-1,0,1,0,25174,998,142,3926,-99999,0,2,0,-99999,3365,-99999,16356,1328,998,25174,0,1,998,23674,3,98,998,0,BRANCH,NA
Q,0,1,44028,0,OH,2,1,2012,151246,1,2012,151246,91,-1,0,1,0,83987,998,108,6452,-99999,-99999,0,2,0,4516,-99999,28637,0,998,83987,0,1,998,28637,0,98,998,2,BRANCH,NA
R,0,1,32352,0,FL,1,1,2012,82170,0,-1,0,1,13000,0,1,0,2600,998,70,9398,-99999,-99999,0,0,-99999,7519,-99999,-99999,0,998,2600,0,1,997,999999996,3,1,400,0,IAPS,8.51E+17
H,0,1,60620,0,IL,2,1,2011,135000,1,2011,135000,94,-1,0,1,0,20873,998,68,20345,-99999,0,1,1,0,16954,89676,13383,0,997,20873,999999997,997,998,13383,2,0,1,1,BRANCH,NA
H,0,1,90706,1,CA,2,1,2008,465000,1,2008,465000,85,65000,0,0,1,326179,998,324,32812,-99999,1,2,1,-99999,29166,124157,22058,239463,998,326179,0,1,0,23479,4,0,1,1,IAPS,NA
R,0,1,60660,1,IL,2,0,-1,0,0,-1,0,1,-1,0,0,0,799,998,999999997,-99999,-99999,0,2,-99999,-99999,0,-99999,-99999,0,998,999999997,999999997,400,0,999999997,2,1,400,97,RCC,NA
H,0,1,75840,0,TX,2,0,-1,0,0,-1,0,188,-1,1,0,1,156965,400,999999997,17135,-99999,2,6,1,-99999,17135,65497,101606,1978,996,156965,999999997,400,998,81502,3,0,1,97,IAPS,NA
H,0,1,28712,0,AL,1,0,-1,0,0,-1,0,1,-1,0,1,0,8417,998,30,426,-99999,-99999,0,0,-99999,426,-99999,-99999,143,1,8417,999999998,998,998,7617,0,0,1,0,BRANCH,NA
H,0,1,24112,1,VA,1,1,2012,0,1,2012,0,1,33600,0,0,0,39387,998,399,1632,0,0,2,4,-99999,1440,-99999,23197,1986,1,39137,0,60,0,23197,2,0,60,5,CSC,NA
R,0,1,32818,0,NY,2,0,-1,0,0,-1,0,1,0,0,1,2,1494,400,10,721,-99999,-99999,0,2,-99999,721,-99999,-99999,5563,998,1494,0,1,998,999999996,1,98,998,2,IAPS,NA
H,0,1,80010,0,CO,2,0,2012,180815,0,2012,180815,1,0,0,1,0,151667,998,133,18609,-99999,-99999,0,3,0,13957,129039,39919,234,998,151667,0,1,0,15288,2,0,1,4,MOBILE,NA
R,0,1,22041,0,IL,1,0,-1,0,0,-1,0,1,-1,0,0,0,34372,998,143,1759,-99999,0,2,3,-99999,1382,-99999,19336,0,998,33562,0,30,998,15259,3,0,1,4,IAPS,NA
H,0,1,31406,0,MA,2,1,2012,150000,1,2012,150000,65,0,0,1,0,173711,998,4,28534,-99999,0,1,2,-99999,23779,127733,-99999,0,997,173711,0,1,998,13220,0,0,1,5,BRANCH,NA
R,0,1,97503,0,TX,1,0,-1,0,0,-1,0,1,-1,0,1,0,21250,998,70,2793,-99999,1,2,6,-99999,2444,-99999,17511,994,998,21250,0,1,998,17511,2,0,1,6,BRANCH,8.90E+17
R,0,1,35023,0,MI,2,1,-1,0,1,-1,0,1,-1,1,0,3,7884,998,999999997,5725,-99999,0,2,-99999,-99999,5725,-99999,7884,22531,998,7884,999999998,998,0,7884,2,0,120,97,BRANCH,8.83E+17
H,0,1,35634,0,AL,2,0,2011,0,0,2011,0,1,-1,0,1,0,108335,998,0,17153,1,1,1,2,0,11435,102409,13279,0,997,108035,999999997,1,997,999999997,4,0,1,1,BRANCH,NA
R,2,1,15227,0,PA,2,0,-1,0,0,-1,0,140,0,0,1,0,18000,998,780,1716,-99999,1,1,4,-99999,1716,-99999,-99999,0,997,18000,0,1,0,10000,3,0,1,2,IAPS,9.03E+17
H,0,1,60622,0,IL,2,0,2011,0,0,2011,0,54,0,0,1,0,284117,998,50,27845,0,0,2,0,0,22782,214694,38901,0,1,284117,0,1,998,42817,2,0,1,1,BRANCH,NA
H,0,1,36260,1,AL,1,0,2012,0,0,-1,0,1,-1,0,0,0,112690,400,0,11148,0,0,1,2,-99999,11148,39332,-99999,1100,1,112690,0,30,0,39290,0,0,1,2,BRANCH,NA
H,0,1,28110,0,NC,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,96400,998,18,13910,-99999,1,1,3,-99999,12171,-99999,9125,1400,997,95900,0,1,997,999999997,3,0,1,3,IAPS,NA
H,0,1,75110,0,TX,2,1,2011,0,1,2011,0,97,-1,0,0,0,18615,998,51,1306,-99999,1,2,0,-99999,653,-99999,2082,764,998,18065,0,1,998,5695,2,98,998,0,BRANCH,NA
H,0,1,26757,1,PA,1,1,-1,0,1,2012,0,1,-1,0,0,0,46960,400,46,1131,-99999,0,3,0,-99999,1131,-99999,-99999,4679,996,45200,0,1,998,2650,3,0,1,0,CSC,NA
R,0,1,46321,0,IL,2,1,2011,0,1,2011,0,1,-1,0,1,0,15600,998,428,132,-99999,-99999,0,0,0,33,-99999,-99999,0,998,3700,0,400,998,999999998,2,98,998,0,IAPS,NA
H,0,1,32808,0,NY,2,1,2012,110000,1,2012,110000,100,0,0,1,1,192077,400,31,58237,-99999,0,1,2,-99999,43678,173559,-99999,814,998,192077,0,1,998,999999996,5,98,998,1,IAPS,NA
R,0,1,11743,0,NY,2,0,2011,435689,0,2011,435689,1,-1,0,1,0,28200,998,1235,5372,-99999,-99999,0,1,-99999,4029,-99999,18648,0,998,28200,0,1,998,999999997,2,98,998,1,IAPS,NA
H,0,1,32763,0,FL,2,0,2011,158031,0,2011,158031,100,-1,0,0,2,132762,998,999999996,119402,-99999,-99999,0,-99999,-99999,119402,119402,-99999,133507,996,132762,999999997,997,998,999999996,1,1,400,0,IAPS,NA
H,0,1,37932,0,TN,1,1,2012,274889,1,2012,294036,1,0,0,1,0,390891,998,151,27947,0,0,2,1,0,19214,259304,26219,0,998,357217,0,1,0,40219,0,0,1,3,IAPS,NA
R,0,5,73069,0,OK,2,1,2012,62000,1,2012,62000,7,0,0,1,99,999999999,999,999999999,235,-99999,1,1,-99999,-99999,235,-99999,-99999,999999999,999,999999999,999999999,999,999,999999999,6,99,999,99,IAPS,8.71E+17
R,0,1,37144,0,FL,1,0,2011,126552,0,2009,75264,70,0,0,1,1,19632,400,10,3548,-99999,5,13,1,-99999,3548,-99999,-99999,7855,1,18662,0,1,0,18162,2,0,1,1,IAPS,NA
H,0,1,31316,1,GA,2,0,-1,0,0,-1,0,46,-1,0,0,0,26695,30,0,1372,-99999,2,2,9,-99999,1372,-99999,-99999,16,998,26345,0,1,0,6245,0,0,30,8,IAPS,NA
H,0,1,54486,0,WI,2,0,2011,0,0,2011,0,77,-1,0,0,0,10903,998,999999996,18682,-99999,1,1,-99999,-99999,18682,54190,-99999,54567,1,10903,0,400,997,10903,0,0,30,0,IAPS,NA
R,0,1,97479,0,OR,1,0,2012,199550,0,-1,0,21,0,0,0,3,7947,400,0,15671,-99999,0,2,2,-99999,15671,-99999,61124,71799,997,7947,0,0,997,7547,0,0,1,0,BRANCH,NA
H,0,1,28306,0,NH,2,1,2012,93070,1,2012,93070,135,29000,0,0,0,188613,998,999999996,44053,0,-99999,0,0,-99999,33040,64118,3924,0,997,188613,0,1,998,999999996,2,0,60,0,BRANCH,NA
R,0,1,28351,0,NC,2,0,-1,0,0,-1,0,1,-1,0,1,2,26697,998,1261,1845,-99999,0,3,1,-99999,1476,-99999,20979,5476,996,26697,0,90,998,23697,1,0,30,1,BRANCH,NA
R,0,1,78574,0,TX,1,0,-1,0,0,-1,0,1,0,1,0,1,33184,400,60,5180,-99999,0,1,0,-99999,5180,-99999,26654,5258,997,33184,0,400,997,32084,3,0,1,1,BRANCH,NA
R,4,1,92705,0,CA,2,0,2011,793023,0,2011,793023,21,0,0,0,0,35562,998,815,7423,-99999,3,4,1,-99999,7423,-99999,16197,0,998,35562,0,1,0,24197,5,0,1,3,IAPS,8.69E+17
R,0,1,28546,0,SC,-1,0,2011,98000,0,-1,0,1,86000,1,1,0,52901,998,0,7557,-99999,1,1,2,-99999,7557,-99999,48277,0,997,52781,0,1,0,50231,4,0,30,2,IAPS,NA
R,0,1,79916,0,IL,-1,0,-1,0,-1,-1,-1,-1,-1,0,1,0,4245,998,999999996,1515,-99999,-99999,0,0,-99999,1136,-99999,-99999,0,998,4245,999999998,998,998,3945,2,0,1,0,IAPS,8.81E+17
R,0,1,27292,0,NC,2,0,-1,0,0,-1,0,1,0,0,1,0,10359,998,999999998,8595,-99999,0,2,-99999,-99999,8595,-99999,-99999,140,998,10359,999999998,998,998,10359,1,0,30,98,IAPS,NA
H,0,2,79936,0,TX,1,0,2012,108672,0,2009,38690,1,0,0,0,1,39736,998,999999997,12857,-99999,-99999,0,-99999,-99999,12857,-99999,-99999,37845,998,39736,999999997,997,998,39736,2,0,1,97,IAPS,8.52E+17
R,0,1,61362,0,IL,2,0,2012,0,0,2012,0,1,-1,0,1,0,14424,998,0,2325,-99999,-99999,0,2,0,2325,-99999,8524,0,998,14424,0,1,998,8524,3,98,998,1,MOBILE,NA
H,0,1,36376,0,GA,2,0,-1,0,0,-1,0,49,-1,0,0,0,30791,998,999999997,8698,-99999,3,6,-99999,-99999,8698,18549,-99999,0,1,30791,999999998,998,998,30791,0,0,1,97,BRANCH,NA
R,0,1,70127,0,TX,2,0,-1,0,0,-1,0,1,0,0,1,1,7572,998,999999996,438,-99999,-99999,0,2,-99999,438,-99999,-99999,1699,998,7222,789,400,998,6422,2,98,998,2,RCC,8.58E+17
R,1,10,98031,0,WA,2,0,-1,0,0,-1,0,1,-1,1,1,6,9618,998,7,1834,-99999,2,9,4,-99999,1834,-99999,7613,22477,997,9618,2381,400,0,8118,4,1,400,2,IAPS,9.08E+17
R,0,1,22309,0,VA,2,0,-1,0,0,-1,0,4,-1,0,0,0,41756,998,58,3794,-99999,1,3,4,-99999,3415,-99999,22056,0,998,41756,0,1,0,28556,4,0,1,3,BRANCH,NA
H,0,1,21085,0,MD,2,1,2011,347244,1,2011,347244,63,-1,0,1,6,169650,400,689,19779,-99999,-99999,0,4,-99999,15383,135215,-99999,16685,998,169650,0,1,998,999999996,4,3,400,4,IAPS,NA
H,0,1,46164,0,OH,2,1,2011,0,1,2011,0,125,0,0,1,0,134188,998,999999997,62930,-99999,1,1,-99999,-99999,62930,124699,-99999,1868,998,134088,999999998,998,998,2088,1,0,1,97,BRANCH,8.67E+17
R,0,1,19082,1,NJ,2,1,2011,237201,1,2011,237201,57,0,1,0,0,4597,400,82,2064,-99999,2,18,2,-99999,1376,-99999,-99999,0,997,4000,0,400,998,999999996,4,1,400,2,BRANCH,NA
R,0,1,10457,0,NY,2,0,2011,0,0,2011,0,14,-1,1,1,0,20379,400,5,5002,-99999,-99999,0,3,-99999,5002,-99999,19579,0,998,20379,0,1,998,19579,3,98,998,3,IAPS,8.67E+17
R,0,1,96734,0,LA,-1,0,-1,0,0,-1,0,6,815000,0,1,0,39781,1,160,19882,-99999,-99999,0,1,-99999,19882,-99999,-99999,214,998,39781,0,1,998,37781,1,98,998,1,BRANCH,NA
R,0,1,35661,0,AL,2,0,-1,0,0,-1,0,21,-1,0,0,1,1452,400,999999996,487,0,5,9,1,-99999,417,-99999,-99999,802,1,1452,999999998,998,998,1152,0,0,1,1,IAPS,NA
R,0,1,87116,0,IL,2,0,-1,0,0,-1,0,1,-1,0,0,0,44527,998,2115,5045,-99999,-99999,0,3,-99999,5045,-99999,32197,472,998,44027,0,30,1,36712,1,0,1,4,IAPS,NA
R,0,1,31905,0,OH,2,0,-1,0,0,-1,0,2,-1,1,0,0,62276,400,3,9415,-99999,3,8,2,-99999,9415,-99999,53276,1045,997,62276,0,1,0,53276,3,0,1,2,BRANCH,7.83E+17
